comunidad,sexo,edad,total,edad_min,edad_max
Andalucía,mujeres,De 75 a 79 años,8.0,75.0,79.0
Andalucía,mujeres,De 80 a 84 años,7.0,80.0,84.0
Andalucía,mujeres,De 85 a 89 años,6.0,85.0,89.0
Andalucía,mujeres,De 90 a 94 años,4.0,90.0,94.0
Andalucía,mujeres,De 95 años y más,0.0,,
Aragón,ambos sexos,Todas las edades,114.0,,
Aragón,ambos sexos,Menores de 15 años,0.0,,
Aragón,ambos sexos,De 15 a 29 años,17.0,15.0,29.0
Aragón,ambos sexos,De 30 a 39 años,12.0,30.0,39.0
Aragón,ambos sexos,De 40 a 44 años,7.0,40.0,44.0
Aragón,ambos sexos,De 45 a 49 años,13.0,45.0,49.0
Aragón,ambos sexos,De 50 a 54 años,12.0,50.0,54.0
Aragón,ambos sexos,De 55 a 59 años,12.0,55.0,59.0
Aragón,ambos sexos,De 60 a 64 años,9.0,60.0,64.0
Aragón,ambos sexos,De 65 a 69 años,5.0,65.0,69.0
Aragón,ambos sexos,De 70 a 74 años,8.0,70.0,74.0
Aragón,ambos sexos,De 75 a 79 años,6.0,75.0,79.0
Aragón,ambos sexos,De 80 a 84 años,4.0,80.0,84.0
Aragón,ambos sexos,De 85 a 89 años,6.0,85.0,89.0
Aragón,ambos sexos,De 90 a 94 años,2.0,90.0,94.0
Aragón,ambos sexos,De 95 años y más,1.0,,
Aragón,hombres,Todas las edades,86.0,,
Aragón,hombres,Menores de 15 años,0.0,,
Aragón,hombres,De 15 a 29 años,13.0,15.0,29.0
Aragón,hombres,De 30 a 39 años,11.0,30.0,39.0
Aragón,hombres,De 40 a 44 años,6.0,40.0,44.0
Aragón,hombres,De 45 a 49 años,9.0,45.0,49.0
Aragón,hombres,De 50 a 54 años,11.0,50.0,54.0
Aragón,hombres,De 55 a 59 años,6.0,55.0,59.0
Aragón,hombres,De 60 a 64 años,5.0,60.0,64.0
Aragón,hombres,De 65 a 69 años,3.0,65.0,69.0
Aragón,hombres,De 70 a 74 años,7.0,70.0,74.0
Aragón,hombres,De 75 a 79 años,5.0,75.0,79.0
Aragón,hombres,De 80 a 84 años,4.0,80.0,84.0
Aragón,hombres,De 85 a 89 años,5.0,85.0,89.0
Aragón,hombres,De 90 a 94 años,0.0,90.0,94.0
Aragón,hombres,De 95 años y más,1.0,,
Aragón,mujeres,Todas las edades,28.0,,
Aragón,mujeres,Menores de 15 años,0.0,,
Aragón,mujeres,De 15 a 29 años,4.0,15.0,29.0
Aragón,mujeres,De 30 a 39 años,1.0,30.0,39.0
Aragón,mujeres,De 40 a 44 años,1.0,40.0,44.0
Aragón,mujeres,De 45 a 49 años,4.0,45.0,49.0
Aragón,mujeres,De 50 a 54 años,1.0,50.0,54.0
Aragón,mujeres,De 55 a 59 años,6.0,55.0,59.0
